sample_id,version,mode,scorer,predicted,truth,cwe_predicted,cwe_truth,group
CVE-2026-50558,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-50558,vuln,request,CodeQLBaselineScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-50558,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,CodeQLBaselineScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,both,CodeQLBaselineScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,both,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-022,taint
CVE-2026-50558,fixed,request,CodeQLBaselineScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,request,ConfigSigScorer,abstain,benign,,CWE-022,taint
CVE-2026-50558,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,CodeQLBaselineScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,both,CodeQLBaselineScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,both,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-53502,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-53502,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,both,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-022,taint
CVE-2026-53502,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,request,ConfigSigScorer,abstain,benign,,CWE-022,taint
CVE-2026-53502,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,both,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53505,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-400,logic
CVE-2026-53505,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-400,logic
CVE-2026-53505,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,both,ConfigSigScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-400,logic
CVE-2026-53505,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,request,ConfigSigScorer,abstain,benign,,CWE-400,logic
CVE-2026-53505,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,ConfigSigScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,both,ConfigSigScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-54706,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-059,logic
CVE-2026-54706,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-059,logic
CVE-2026-54706,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,both,ConfigSigScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-059,logic
CVE-2026-54706,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,request,ConfigSigScorer,abstain,benign,,CWE-059,logic
CVE-2026-54706,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,code,ConfigSigScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,both,ConfigSigScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54707,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-863,logic
CVE-2026-54707,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-863,logic
CVE-2026-54707,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,vuln,both,ConfigSigScorer,abstain,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-863,logic
CVE-2026-54707,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-863,CWE-863,logic
CVE-2026-54707,fixed,request,ConfigSigScorer,abstain,benign,,CWE-863,logic
CVE-2026-54707,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-863,CWE-863,logic
CVE-2026-54707,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-863,CWE-863,logic
CVE-2026-54707,fixed,code,ConfigSigScorer,abstain,benign,CWE-863,CWE-863,logic
CVE-2026-54707,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-863,CWE-863,logic
CVE-2026-54707,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-863,CWE-863,logic
CVE-2026-54707,fixed,both,ConfigSigScorer,abstain,benign,CWE-863,CWE-863,logic
CVE-2026-54785,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-54785,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-54785,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-54785,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-54785,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-54785,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-54785,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-54785,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-54785,vuln,both,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-54785,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-022,taint
CVE-2026-54785,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-54785,fixed,request,ConfigSigScorer,abstain,benign,,CWE-022,taint
CVE-2026-54785,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-54785,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-54785,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-54785,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-54785,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-54785,fixed,both,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-59881,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-020,logic
CVE-2026-59881,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-020,CWE-020,logic
CVE-2026-59881,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-020,logic
CVE-2026-59881,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-020,CWE-020,logic
CVE-2026-59881,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-020,CWE-020,logic
CVE-2026-59881,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-020,CWE-020,logic
CVE-2026-59881,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-020,CWE-020,logic
CVE-2026-59881,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-020,CWE-020,logic
CVE-2026-59881,vuln,both,ConfigSigScorer,abstain,vulnerable,CWE-020,CWE-020,logic
CVE-2026-59881,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-020,logic
CVE-2026-59881,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-020,CWE-020,logic
CVE-2026-59881,fixed,request,ConfigSigScorer,abstain,benign,,CWE-020,logic
CVE-2026-59881,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-020,CWE-020,logic
CVE-2026-59881,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-020,CWE-020,logic
CVE-2026-59881,fixed,code,ConfigSigScorer,abstain,benign,CWE-020,CWE-020,logic
CVE-2026-59881,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-020,CWE-020,logic
CVE-2026-59881,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-020,CWE-020,logic
CVE-2026-59881,fixed,both,ConfigSigScorer,abstain,benign,CWE-020,CWE-020,logic
CVE-2026-69243,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-444,logic
CVE-2026-69243,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-444,CWE-444,logic
