sample_id,version,mode,scorer,predicted,truth,cwe_predicted,cwe_truth,group
CVE-2026-50558,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-50558,vuln,request,CodeQLBaselineScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-50558,vuln,request,CPGEvidenceScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-50558,vuln,request,LocalLLMScorer,abstain,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,StructuralHeuristicScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,CodeQLBaselineScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,CPGEvidenceScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,LocalLLMScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,both,StructuralHeuristicScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,both,CodeQLBaselineScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,both,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,both,CPGEvidenceScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,both,LocalLLMScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-022,taint
CVE-2026-50558,fixed,request,CodeQLBaselineScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,request,ConfigSigScorer,abstain,benign,,CWE-022,taint
CVE-2026-50558,fixed,request,CPGEvidenceScorer,abstain,benign,,CWE-022,taint
CVE-2026-50558,fixed,request,LocalLLMScorer,abstain,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,StructuralHeuristicScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,CodeQLBaselineScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,CPGEvidenceScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,LocalLLMScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,both,StructuralHeuristicScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,both,CodeQLBaselineScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,both,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,both,CPGEvidenceScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,both,LocalLLMScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-53502,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-53502,vuln,request,CPGEvidenceScorer,abstain,vulnerable,,CWE-022,taint
CVE-2026-53502,vuln,request,LocalLLMScorer,abstain,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,StructuralHeuristicScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,CPGEvidenceScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,LocalLLMScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,both,StructuralHeuristicScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,both,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,both,CPGEvidenceScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,both,LocalLLMScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-022,taint
CVE-2026-53502,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,request,ConfigSigScorer,abstain,benign,,CWE-022,taint
CVE-2026-53502,fixed,request,CPGEvidenceScorer,abstain,benign,,CWE-022,taint
CVE-2026-53502,fixed,request,LocalLLMScorer,abstain,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,StructuralHeuristicScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,CPGEvidenceScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,LocalLLMScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,both,StructuralHeuristicScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,both,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,both,CPGEvidenceScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,both,LocalLLMScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-53505,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-400,logic
CVE-2026-53505,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-400,logic
CVE-2026-53505,vuln,request,CPGEvidenceScorer,abstain,vulnerable,,CWE-400,logic
CVE-2026-53505,vuln,request,LocalLLMScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,CPGEvidenceScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,LocalLLMScorer,vulnerable,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,both,ConfigSigScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,both,CPGEvidenceScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,both,LocalLLMScorer,vulnerable,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-400,logic
CVE-2026-53505,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,request,ConfigSigScorer,abstain,benign,,CWE-400,logic
CVE-2026-53505,fixed,request,CPGEvidenceScorer,abstain,benign,,CWE-400,logic
CVE-2026-53505,fixed,request,LocalLLMScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,ConfigSigScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,CPGEvidenceScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,LocalLLMScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,both,ConfigSigScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,both,CPGEvidenceScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,both,LocalLLMScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-54706,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-059,logic
CVE-2026-54706,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-059,logic
CVE-2026-54706,vuln,request,CPGEvidenceScorer,abstain,vulnerable,,CWE-059,logic
CVE-2026-54706,vuln,request,LocalLLMScorer,abstain,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,code,CPGEvidenceScorer,vulnerable,vulnerable,CWE-022,CWE-059,logic
CVE-2026-54706,vuln,code,LocalLLMScorer,vulnerable,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,both,StructuralHeuristicScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,both,CodeQLBaselineScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,both,ConfigSigScorer,benign,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,vuln,both,CPGEvidenceScorer,vulnerable,vulnerable,CWE-022,CWE-059,logic
CVE-2026-54706,vuln,both,LocalLLMScorer,vulnerable,vulnerable,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,request,StructuralHeuristicScorer,abstain,benign,,CWE-059,logic
CVE-2026-54706,fixed,request,CodeQLBaselineScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,request,ConfigSigScorer,abstain,benign,,CWE-059,logic
CVE-2026-54706,fixed,request,CPGEvidenceScorer,abstain,benign,,CWE-059,logic
CVE-2026-54706,fixed,request,LocalLLMScorer,abstain,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,code,ConfigSigScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,code,CPGEvidenceScorer,vulnerable,benign,CWE-022,CWE-059,logic
CVE-2026-54706,fixed,code,LocalLLMScorer,vulnerable,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,both,StructuralHeuristicScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,both,CodeQLBaselineScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,both,ConfigSigScorer,benign,benign,CWE-059,CWE-059,logic
CVE-2026-54706,fixed,both,CPGEvidenceScorer,vulnerable,benign,CWE-022,CWE-059,logic
CVE-2026-54706,fixed,both,LocalLLMScorer,vulnerable,benign,CWE-059,CWE-059,logic
CVE-2026-54707,vuln,request,StructuralHeuristicScorer,abstain,vulnerable,,CWE-863,logic
CVE-2026-54707,vuln,request,CodeQLBaselineScorer,benign,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,vuln,request,ConfigSigScorer,abstain,vulnerable,,CWE-863,logic
CVE-2026-54707,vuln,request,CPGEvidenceScorer,abstain,vulnerable,,CWE-863,logic
CVE-2026-54707,vuln,request,LocalLLMScorer,abstain,vulnerable,CWE-863,CWE-863,logic
CVE-2026-54707,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-863,CWE-863,logic
